Role,Context,Capability,Permission
R71,ctx7,res259_exe,allow
R2,ctx7,res217_exe,allow
R68,ctx2,res434_exe,allow
R73,ctx6,res136_exe,allow
R52,ctx20,res79_read,allow
R6,ctx11,res117_exe,allow
R34,ctx9,res415_exe,allow
R45,ctx2,res461_read,deny
R98,ctx20,res103_write,allow
R37,ctx17,res429_read,allow
R64,ctx14,res440_read,allow
R51,ctx12,res468_exe,deny
R93,ctx19,res314_exe,allow
R80,ctx10,res461_exe,deny
R12,ctx8,res40_write,allow
R32,ctx9,res199_read,deny
R65,ctx1,res19_exe,deny
R12,ctx8,res486_write,deny
R18,ctx12,res350_read,allow
R51,ctx7,res7_exe,deny
R89,ctx18,res477_exe,allow
R16,ctx16,res106_exe,allow
R77,ctx10,res410_exe,allow
R50,ctx6,res245_read,allow
R27,ctx15,res432_exe,allow
R88,ctx7,res302_exe,allow
R64,ctx13,res270_read,allow
R38,ctx4,res25_exe,allow
R64,ctx6,res26_exe,deny
R46,ctx20,res175_read,allow
R16,ctx1,res181_exe,deny
R58,ctx2,res297_exe,allow
R91,ctx19,res106_read,allow
R90,ctx19,res13_write,deny
R23,ctx5,res166_write,allow
R40,ctx3,res175_exe,allow
R56,ctx19,res168_read,allow
R70,ctx4,res343_read,allow
R57,ctx2,res133_exe,allow
R45,ctx1,res251_write,allow
R3,ctx17,res38_exe,allow
R22,ctx7,res393_read,allow
R80,ctx16,res423_write,allow
R87,ctx16,res328_exe,allow
R59,ctx3,res406_write,allow
R15,ctx7,res231_exe,deny
R90,ctx10,res377_exe,deny
R93,ctx13,res266_exe,allow
R83,ctx3,res53_exe,allow
R83,ctx8,res325_write,allow
R48,ctx7,res357_write,allow
R66,ctx13,res158_exe,allow
R80,ctx18,res105_write,deny
R35,ctx19,res448_exe,allow
R73,ctx1,res254_read,allow
R83,ctx12,res30_exe,allow
R89,ctx12,res452_exe,allow
R45,ctx1,res233_exe,deny
R74,ctx13,res375_exe,allow
R18,ctx2,res450_write,allow
R46,ctx15,res114_exe,allow
R18,ctx2,res204_write,allow
R10,ctx9,res230_read,allow
R81,ctx13,res411_read,allow
R100,ctx2,res155_write,deny
R60,ctx1,res86_write,allow
R59,ctx7,res262_exe,allow
R57,ctx10,res131_exe,allow
R88,ctx14,res76_write,allow
R73,ctx12,res463_read,allow
R38,ctx4,res456_exe,allow
R5,ctx1,res196_exe,allow
R18,ctx3,res473_write,allow
R63,ctx9,res220_write,deny
R67,ctx8,res76_exe,deny
R95,ctx16,res369_exe,allow
R10,ctx6,res320_write,deny
R47,ctx10,res317_exe,allow
R1,ctx12,res335_exe,allow
R26,ctx18,res452_exe,allow
R73,ctx4,res157_exe,allow
R89,ctx12,res324_exe,allow
R40,ctx14,res464_exe,allow
R99,ctx4,res318_write,deny
R67,ctx14,res339_exe,allow
R27,ctx17,res273_exe,allow
R64,ctx13,res455_read,allow
R72,ctx1,res451_write,allow
R34,ctx8,res166_write,allow
R10,ctx3,res238_exe,allow
R74,ctx7,res222_read,deny
R47,ctx10,res233_read,allow
R98,ctx20,res103_exe,allow
R10,ctx14,res211_exe,allow
R18,ctx7,res56_exe,deny
R98,ctx13,res158_exe,deny
R84,ctx18,res37_exe,allow
R50,ctx19,res240_exe,allow
R11,ctx17,res322_exe,allow
R42,ctx9,res153_read,allow
R81,ctx7,res301_exe,allow
R79,ctx6,res476_exe,allow
R52,ctx10,res146_exe,allow
R8,ctx12,res304_read,allow
R70,ctx15,res138_write,deny
R99,ctx14,res410_write,allow
R40,ctx17,res297_exe,allow
R83,ctx6,res160_write,allow
R81,ctx15,res423_read,allow
R69,ctx16,res308_exe,allow
R18,ctx9,res243_exe,allow
R96,ctx4,res467_exe,allow
R51,ctx18,res76_read,deny
R72,ctx3,res274_read,allow
R36,ctx5,res36_exe,allow
R53,ctx4,res392_read,allow
R47,ctx16,res394_exe,allow
R61,ctx17,res35_write,allow
R22,ctx16,res42_read,allow
R8,ctx7,res291_write,deny
R77,ctx6,res132_exe,allow
R77,ctx1,res71_exe,deny
R52,ctx15,res405_write,deny
R13,ctx15,res416_read,deny
R54,ctx10,res90_write,deny
R62,ctx12,res399_exe,allow
R78,ctx12,res4_read,allow
R24,ctx20,res459_exe,allow
R81,ctx6,res169_exe,allow
R80,ctx16,res423_exe,allow
R54,ctx4,res27_exe,allow
R71,ctx3,res204_read,allow
R50,ctx6,res123_exe,allow
R16,ctx2,res127_exe,allow
R46,ctx1,res250_write,allow
R72,ctx1,res181_read,allow
R74,ctx12,res496_exe,allow
R85,ctx12,res256_exe,allow
R1,ctx9,res323_exe,allow
R7,ctx10,res84_read,allow
R55,ctx18,res306_exe,allow
R41,ctx8,res298_exe,allow
R76,ctx8,res117_exe,allow
R71,ctx8,res365_write,allow
R68,ctx14,res44_read,deny
R33,ctx20,res159_read,allow
R26,ctx18,res176_read,allow
R47,ctx18,res165_exe,deny
R46,ctx20,res216_write,allow
R4,ctx8,res425_exe,allow
R66,ctx9,res76_exe,allow
R6,ctx7,res328_exe,deny
R82,ctx14,res475_write,allow
R79,ctx16,res134_write,allow
R33,ctx13,res18_read,allow
R8,ctx15,res223_write,allow
R98,ctx10,res5_exe,allow
R92,ctx8,res119_write,allow
R6,ctx20,res94_exe,allow
R36,ctx14,res172_exe,allow
R17,ctx17,res370_exe,allow
R83,ctx14,res373_write,allow
R53,ctx20,res77_read,allow
R91,ctx9,res345_exe,allow
R77,ctx18,res119_exe,deny
