Role,Context,Capability,Permission
R16,ctx6,res44_exe,allow
R12,ctx6,res55_exe,deny
R20,ctx20,res33_write,allow
R9,ctx8,res76_write,deny
R7,ctx9,res3_write,allow
R4,ctx18,res73_exe,deny
R11,ctx8,res23_exe,allow
R15,ctx17,res35_write,allow
R4,ctx7,res31_exe,deny
R19,ctx8,res45_write,allow
R1,ctx3,res23_exe,allow
R12,ctx4,res40_read,deny
R13,ctx2,res54_exe,allow
R15,ctx17,res35_exe,allow
R10,ctx13,res47_exe,allow
R14,ctx8,res24_write,allow
R12,ctx17,res7_exe,allow
R14,ctx16,res47_exe,allow
R13,ctx10,res10_write,allow
R3,ctx14,res33_read,allow
R2,ctx8,res3_exe,allow
R16,ctx13,res32_read,allow
R13,ctx6,res48_exe,allow
R15,ctx3,res65_write,deny
R16,ctx4,res47_exe,allow
R15,ctx12,res35_read,allow
R19,ctx17,res15_exe,deny
R11,ctx19,res30_write,allow
R18,ctx5,res2_read,allow
R5,ctx18,res40_write,allow
R13,ctx13,res7_exe,deny
R18,ctx4,res49_exe,allow
R2,ctx12,res20_exe,allow
R7,ctx1,res80_write,allow
R20,ctx8,res21_exe,allow
R3,ctx2,res34_exe,allow
R14,ctx2,res48_write,allow
R4,ctx19,res67_exe,allow
R8,ctx5,res70_exe,allow
R4,ctx9,res15_exe,allow
R5,ctx10,res50_read,allow
R2,ctx12,res57_exe,allow
R8,ctx1,res67_write,allow
R10,ctx18,res76_exe,allow
R8,ctx13,res61_exe,deny
R11,ctx16,res66_read,allow
R12,ctx11,res60_exe,allow
R11,ctx19,res23_write,allow
R19,ctx6,res1_read,allow
R7,ctx18,res12_exe,allow
R17,ctx19,res50_write,allow
R20,ctx5,res18_exe,allow
R5,ctx16,res79_exe,allow
R9,ctx5,res54_write,allow
R13,ctx14,res25_read,allow
R16,ctx3,res28_read,allow
R17,ctx18,res73_exe,deny
R15,ctx17,res33_exe,allow
R6,ctx3,res3_exe,allow
R9,ctx6,res29_read,deny
R1,ctx16,res40_read,allow
R9,ctx17,res22_exe,allow
