Id,Context,Capability,type,time_t
Id304,ctx3,res58_read,AC,t
Id105,ctx16,res62_exe,AC,t
Id43,ctx17,res64_exe,AC,t
Id57,ctx1,res53_exe,AC,t
Id58,ctx19,res63_exe,AC,t
Id142,ctx12,res9_exe,AC,t
Id42,ctx10,res65_exe,AC,t
Id32,ctx2,res28_read,AC,t
Id59,ctx12,res64_exe,AC,t
Id27,ctx16,res63_write,AC,t
Id85,ctx14,res62_read,AC,t
Id276,ctx10,res25_exe,AC,t
Id308,ctx9,res57_read,AC,t
Id47,ctx14,res53_read,AC,t
Id146,ctx5,res49_read,AC,t
Id112,ctx11,res15_exe,AC,t
Id223,ctx10,res60_read,AC,t
Id27,ctx20,res16_exe,AC,t
Id77,ctx12,res67_exe,AC,t
Id79,ctx20,res69_write,AC,t
Id234,ctx10,res12_write,AC,t
Id5,ctx12,res57_write,AC,t
Id329,ctx2,res37_read,AC,t
Id3,ctx10,res39_read,AC,t
Id4,ctx11,res47_exe,AC,t
Id49,ctx14,res44_write,AC,t
Id96,ctx20,res20_read,AC,t
Id12,ctx4,res24_exe,AC,t
Id79,ctx20,res34_write,AC,t
Id25,ctx1,res66_exe,AC,t
Id52,ctx9,res63_exe,AC,t
Id202,ctx5,res22_read,AC,t
Id353,ctx8,res16_exe,AC,t
Id57,ctx10,res54_exe,AC,t
Id240,ctx7,res20_exe,AC,t
Id76,ctx10,res57_read,AC,t
Id3,ctx19,res63_read,AC,t
Id174,ctx5,res14_write,AC,t
Id99,ctx12,res66_exe,AC,t
Id62,ctx9,res59_exe,AC,t
Id200,ctx7,res29_exe,AC,t
Id115,ctx5,res3_write,AC,t
Id6,ctx11,res9_write,AC,t
Id26,ctx7,res47_exe,AC,t
Id140,ctx5,res21_write,AC,t
Id7,ctx5,res66_write,AC,t
Id223,ctx10,res43_write,AC,t
Id5,ctx13,res64_exe,AC,t
Id68,ctx17,res50_read,AC,t
Id268,ctx4,res40_read,AC,t
Id20,ctx18,res58_read,AC,t
Id64,ctx13,res13_write,AC,t
Id14,ctx17,res46_exe,AC,t
Id108,ctx7,res21_write,AC,t
Id80,ctx8,res14_read,AC,t
Id22,ctx8,res39_write,AC,t
Id42,ctx18,res31_exe,AC,t
Id7,ctx5,res22_write,AC,t
Id171,ctx19,res66_exe,AC,t
Id167,ctx11,res29_read,AC,t
Id76,ctx2,res56_exe,AC,t
Id105,ctx16,res51_exe,AC,t
Id30,ctx2,res40_exe,AC,t
Id221,ctx4,res66_read,AC,t
Id117,ctx4,res8_exe,AC,t
Id11,ctx15,res34_write,AC,t
Id153,ctx2,res51_read,AC,t
Id45,ctx2,res1_exe,AC,t
Id152,ctx6,res18_exe,AC,t
Id132,ctx1,res42_read,AC,t
Id61,ctx8,res26_read,AC,t
Id31,ctx3,res31_write,AC,t
Id117,ctx4,res52_write,AC,t
Id126,ctx2,res10_exe,AC,t
Id31,ctx19,res1_write,AC,t
Id198,ctx4,res49_exe,AC,t
Id113,ctx12,res22_exe,AC,t
Id114,ctx4,res11_exe,AC,t
Id31,ctx11,res60_write,AC,t
Id76,ctx10,res15_exe,AC,t
Id78,ctx15,res60_write,AC,t
Id128,ctx16,res11_exe,AC,t
Id45,ctx3,res36_exe,AC,t
Id35,ctx1,res3_read,AC,t
Id46,ctx16,res46_exe,AC,t
Id29,ctx5,res4_read,AC,t
Id79,ctx7,res45_exe,AC,t
Id95,ctx17,res4_read,AC,t
Id16,ctx6,res59_exe,AC,t
Id84,ctx1,res17_write,AC,t
Id46,ctx18,res10_exe,AC,t
Id47,ctx7,res36_exe,AC,t
Id36,ctx18,res26_exe,AC,t
Id73,ctx1,res16_exe,AC,t
Id233,ctx2,res53_exe,AC,t
Id29,ctx15,res70_write,AC,t
Id122,ctx14,res47_exe,AC,t
Id50,ctx18,res1_exe,AC,t
Id43,ctx1,res55_exe,AC,t
Id5,ctx13,res19_write,AC,t
Id104,ctx13,res45_exe,AC,t
Id28,ctx9,res24_exe,AC,t
Id62,ctx9,res49_exe,AC,t
Id310,ctx9,res13_read,AC,t
Id3,ctx2,res18_write,AC,t
Id77,ctx9,res50_read,AC,t
Id7,ctx5,res22_exe,AC,t
Id51,ctx3,res58_read,AC,t
Id59,ctx12,res53_exe,AC,t
Id57,ctx1,res67_read,AC,t
Id63,ctx18,res33_exe,AC,t
Id307,ctx19,res27_exe,AC,t
Id154,ctx16,res34_exe,AC,t
Id353,ctx8,res33_exe,AC,t
Id38,ctx8,res68_write,AC,t
Id68,ctx17,res8_read,AC,t
Id198,ctx7,res2_read,AC,t
Id2,ctx5,res44_exe,AC,t
Id115,ctx5,res3_exe,AC,t
Id56,ctx13,res49_read,AC,t
Id24,ctx8,res45_exe,AC,t
Id181,ctx9,res26_read,AC,t
Id108,ctx7,res64_exe,AC,t
Id36,ctx12,res21_exe,AC,t
Id102,ctx17,res2_exe,AC,t
Id21,ctx5,res31_exe,AC,t
Id36,ctx5,res3_write,AC,t
Id222,ctx9,res41_exe,AC,t
Id43,ctx13,res28_exe,AC,t
Id27,ctx3,res62_write,AC,t
Id32,ctx2,res30_write,AC,t
Id31,ctx3,res38_exe,AC,t
Id10,ctx16,res66_exe,AC,t
Id40,ctx6,res19_write,AC,t
Id224,ctx2,res57_read,AC,t
Id30,ctx19,res53_read,AC,t
Id112,ctx1,res48_read,AC,t
Id45,ctx2,res13_write,AC,t
Id103,ctx17,res14_exe,AC,t
Id97,ctx1,res56_exe,AC,t
Id91,ctx9,res52_write,AC,t
Id3,ctx2,res9_write,AC,t
Id233,ctx2,res47_write,AC,t
Id238,ctx2,res27_exe,AC,t
Id7,ctx10,res2_write,AC,t
Id31,ctx11,res33_exe,AC,t
Id91,ctx9,res31_write,AC,t
Id305,ctx18,res32_write,AC,t
Id14,ctx17,res64_exe,AC,t
Id16,ctx1,res40_write,AC,t
Id112,ctx1,res33_exe,AC,t
Id8,ctx5,res70_write,AC,t
Id24,ctx19,res29_exe,AC,t
Id13,ctx13,res40_write,AC,t
Id30,ctx14,res50_exe,AC,t
Id222,ctx10,res40_read,AC,t
Id24,ctx19,res14_exe,AC,t
Id28,ctx20,res40_exe,AC,t
Id69,ctx17,res35_write,AC,t
Id32,ctx15,res36_read,AC,t
Id19,ctx14,res12_exe,AC,t
Id74,ctx17,res11_exe,AC,t
Id123,ctx5,res38_read,AC,t
Id119,ctx11,res48_write,AC,t
Id132,ctx4,res10_write,AC,t
Id15,ctx8,res43_exe,AC,t
Id5,ctx6,res2_exe,AC,t
Id148,ctx12,res30_write,AC,t
Id44,ctx1,res42_exe,AC,t
Id265,ctx18,res40_exe,AC,t
Id78,ctx16,res36_write,AC,t
Id108,ctx7,res64_write,AC,t
Id28,ctx4,res44_exe,AC,t
Id5,ctx12,res57_exe,AC,t
Id132,ctx4,res40_write,AC,t
Id59,ctx6,res6_write,AC,t
Id31,ctx19,res16_exe,AC,t
Id33,ctx10,res63_read,AC,t
Id44,ctx14,res36_write,AC,t
Id70,ctx20,res35_exe,AC,t
Id215,ctx18,res17_exe,AC,t
Id29,ctx7,res56_read,AC,t
Id111,ctx8,res5_read,AC,t
Id19,ctx3,res53_exe,AC,t
Id12,ctx6,res63_exe,AC,t
Id49,ctx15,res51_exe,AC,t
Id159,ctx12,res26_exe,AC,t
Id222,ctx10,res26_exe,AC,t
Id368,ctx17,res12_exe,AC,t
Id36,ctx11,res58_read,AC,t
Id49,ctx14,res44_exe,AC,t
Id53,ctx3,res42_write,AC,t
Id43,ctx1,res55_write,AC,t
Id29,ctx3,res66_exe,AC,t
Id78,ctx16,res39_exe,AC,t
Id32,ctx13,res22_write,AC,t
Id15,ctx12,res49_write,AC,t
Id26,ctx13,res19_exe,AC,t
Id164,ctx12,res34_write,AC,t
Id14,ctx3,res32_exe,AC,t
Id16,ctx1,res17_exe,AC,t
