Role,Context,Capability,Permission
RG1,context1,c1,allow
RG2,context2,c1,allow
R1,context1,c1,allow
R2,context2,c1,allow
R3,context1,c1,allow
R4,context2,c1,deny
R5,context7,c1,allow
R6,context8,c1,allow
R7,context9,c1,allow
R8,context1,c1,allow
R9,context1,c1,allow
R10,context2,c1,deny
R11,context3,c1,allow
R12,context4,c1,allow
R13,context5,c1,allow
R14,context1,c1,allow
R18,context1,c1,allow
R15,context1,c1,allow
R19,context1,c1,allow
R16,context1,c1,allow
R20,context1,c1,allow
R17,context1,c1,allow
R21,context1,c1,allow
R22,context1,c1,allow
R23,context1,c1,allow
R26,context2,c1,allow
R27,context2,c1,allow
R28,context2,c1,allow
R29,context2,c1,allow
R30,context2,c1,allow
